,sum_sq,df,F,PR(>F)
C(additional_info),0.34523769323691944,15.0,61.14966893388327,1.1775408085373487e-147
C(embedding_model),45.000251091414285,5.0,23911.79042805051,0.0
C(dr_method),20.88601333799525,2.0,27745.510397323993,0.0
C(dimension_size),0.655928088958227,2.0,871.3515268603282,2.0754205902339715e-262
C(additional_info):C(embedding_model),1.37332397419366,75.0,48.64955826435617,0.0
C(additional_info):C(dr_method),0.17581285300153512,30.0,15.570283844973373,1.1514183125397823e-69
C(embedding_model):C(dr_method),12.926509047986265,10.0,3434.3805626088993,0.0
C(additional_info):C(dimension_size),0.0029356501774683774,30.0,0.25998614863686886,0.9999840391700436
C(embedding_model):C(dimension_size),0.24490683493054877,10.0,65.06809150198004,1.6131027371286363e-112
C(dr_method):C(dimension_size),1.2670204804861274,4.0,841.5710874559024,0.0
C(additional_info):C(embedding_model):C(dr_method),0.6281802654706856,150.0,11.126541515259861,5.163358990533185e-166
C(additional_info):C(embedding_model):C(dimension_size),0.012481948155863828,150.0,0.22108449115872636,0.9999999999999999
C(additional_info):C(dr_method):C(dimension_size),0.005861883341049542,60.0,0.25956915529226204,0.9999999984933958
C(embedding_model):C(dr_method):C(dimension_size),0.4832558775694403,20.0,64.19693772424749,1.2009465772523673e-191
C(additional_info):C(embedding_model):C(dr_method):C(dimension_size),0.02511282304783962,300.0,0.22240341154127,0.9999999999999999
Residual,0.6503940733333331,1728.0,,
